title,image_url,page_url,description
Wasteland,https://iwant.games/wp-content/uploads/wasteland-thumb-400x600.jpg,https://iwant.games/wasteland/,"Wasteland (рус. «Пустошь») — это одиночная, ролевая sci-fi в постапокалиптическом мире. Действие игры разворачивается в футуристической Америке 2087 года, разрушенной после ядерной войны уже нескольких поколений."
The Need for Speed,https://iwant.games/wp-content/uploads/the-need-for-speed-thumb-400x600.jpg,https://iwant.games/the-need-for-speed/,"Road & Track Presents: The Need for Speed (рус. «Жажда скорости») — гоночный автосимулятор, первая игра в популярной серии Need for Speed. Игроку предстоит соревноваться в скорости на трассах, выступая водителем автомобилей популярных брендов: Ferrari, Lamborghini, Porsche, Chevrolet, Dodge и других. "
System Shock,https://iwant.games/wp-content/uploads/system-shock-thumb-400x600.jpg,https://iwant.games/system-shock/,"System Shock – хоррор на выживание в жанре научно-фантастического шутера от первого лица с элементами RPG. Главный герой должен вступить в противостояние с вышедшим из-под контроля искусственным интеллектом Shodan, захватившим управление на космической станции «Цитадель»."
Warcraft: Orcs & Humans,https://iwant.games/wp-content/uploads/warcraft-orcs-and-humans-thumb2-400x600.jpg,https://iwant.games/warcraft-orcs-and-humans/,"Warcraft: Orcs and Humans — стратегия в реальном времени в фэнтезийной вселенной, положившая начало вселенной Warcraft. По сюжету две расы — люди и орки — начали кровопролитную войну за Азерот после открытия портала между мирами. В игре есть 2 сюжетные кампании за каждую фракцию, состоящие из 12 эпизодов."
Warcraft 2: Tides of Darkness,https://iwant.games/wp-content/uploads/warcraft-2-tides-of-darkness-thumb-400x600.jpg,https://iwant.games/warcraft-2-tides-of-darkness/,"Warcraft 2: Tides of Darkness — стратегия в реальном времени в фэнтезийной вселенной, следующая игра в серии Warcraft, посвящённая войне орков и людей. "
Warcraft 2: Beyond the Dark Portal,https://iwant.games/wp-content/uploads/warcraft-2-beyond-the-dark-portal-thumb-400x600.jpg,https://iwant.games/warcraft-2-beyond-the-dark-portal/,"Warcraft 2: Beyond the Dark Portal — дополнение к игре Warcraft 2: Tides of Darkness, продолжающее историю и добавляющее в игру новый контент."
The Neverhood,https://iwant.games/wp-content/uploads/the-neverhood-thumb-400x600.jpg,https://iwant.games/the-neverhood/,"The Neverhood (рус. ""НЕВЕРьвХУДо"", ""Небывальщина"") - легендарная приключенческая головоломка, полностью выполненная из пластилина. В нашей стране была известна под другими названиями благодаря пиратским переводам от «Дядюшка Рисёч» или «Фаргус»."
Diablo,https://iwant.games/wp-content/uploads/diablo-thumb-468x702.jpg,https://iwant.games/diablo/,"Diablo 1 – культовая компьютерная игра в жанре экшен и RPG, в которой игрок должен пройти 16 рандомно генерируемых подземных уровней, убивая монстров, обитающих там, и одолеть владыку Ада."
Need for Speed 2,https://iwant.games/wp-content/uploads/need-for-speed-2-thumb-400x600.jpg,https://iwant.games/need-for-speed-2/,"Need for Speed 2 (рус. «Жажда скорости 2») — гоночный автосимулятор, продолжение серии NFS. Игроку предстоит соревноваться с другими оппонентами только на кольцевых гоночных трассах. "
Dungeon Keeper,https://iwant.games/wp-content/uploads/dungeon-keeper-thumb-400x600.jpg,https://iwant.games/dungeon-keeper/,"Dungeon Keeper — фэнтезийная стратегия в реальном времени и симулятор бога от студии Bullfrog Productions, в которой игроку предстоит выступить в роли злого Хранителя Подземелья, стремящегося победить добрых людей и героев, захватив все их владения. "
